Run Number,Export rate (s),Time (s)
1,1,10.21
2,1,10.12
3,1,9.96
4,1,9.99
5,1,9.93
6,1,9.86
7,1,9.94
8,1,9.88
9,1,10.02
10,1,10.07
1,0.1,92.74
2,0.1,93.01
3,0.1,93.89
4,0.1,93.61
5,0.1,92.83
6,0.1,94.11
7,0.1,92.11
8,0.1,92.59
9,0.1,91.40
10,0.1,91.85
1,0.01,921.42
2,0.01,911.15
3,0.01,914.95
4,0.01,907.23
5,0.01,911.69
6,0.01,911.42
7,0.01,913.45
8,0.01,924.17
9,0.01,915.34
10,0.01,917.38
1,0.001,9037.02
2,0.001,9030.83
3,0.001,9011.90
4,0.001,9069.20
5,0.001,9029.83
6,0.001,9019.02
7,0.001,9054.30
8,0.001,9025.82
9,0.001,9070.74
10,0.001,9003.62
